Columna,Distribución,k,H(X),Hn(X),C(X),U(X),1-U(X),EIAC,Relevancia,Clasificación funcional,Análisis,Datos faltantes,Valor más frecuente,Frecuencia valor más frecuente,Total observado
Typical Severity,High = 12078; Medium = 2902; Very High = 746; High; Medium = 314; ... + 24 valores,28,1.762213,0.366566,0.4434,0.0007,0.9993,0.162422,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,22264,High,12078,17736
34 - HTTP Response Splitting,0 = 39096; 1 = 904,2,0.1558,0.1558,1.0,5e-05,0.99995,0.155792,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39096,40000
Abstraction,Standard = 13766; Detailed = 1120; Meta = 942; Meta; Standard = 484; ... + 18 valores,22,1.456944,0.326711,0.4434,0.00055,0.99945,0.144784,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,22264,Standard,13766,17736
242 - Code Injection,0 = 39241; 1 = 759,2,0.135646,0.135646,1.0,5e-05,0.99995,0.135639,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39241,40000
16 - Dictionary-based Password Attack,0 = 39291; 1 = 709,2,0.128469,0.128469,1.0,5e-05,0.99995,0.128463,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39291,40000
88 - OS Command Injection,0 = 39402; 1 = 598,2,0.112059,0.112059,1.0,5e-05,0.99995,0.112053,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39402,40000
Likelihood Of Attack,High = 11978; Medium = 846; ; High = 441; ; = 312; ... + 16 valores,20,1.275678,0.295164,0.3683,0.0005,0.9995,0.108655,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,25268,High,11978,14732
request_http_method,GET = 37560; POST = 1968; TRACE = 98; OPTIONS = 67; ... + 13 valores,17,0.416005,0.101776,1.0,0.000425,0.999575,0.101733,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,GET,37560,40000
310 - Scanning for Vulnerable Software,0 = 39593; 1 = 407,2,0.081951,0.081951,1.0,5e-05,0.99995,0.081947,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39593,40000
153 - Input Data Manipulation,0 = 39642; 1 = 358,2,0.073749,0.073749,1.0,5e-05,0.99995,0.073745,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39642,40000
274 - HTTP Verb Tampering,0 = 39758; 1 = 242,2,0.053283,0.053283,1.0,5e-05,0.99995,0.053281,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39758,40000
request_host,test-site.com = 39346; 172.26.0.1 = 374; 249.network5-175-62-15.static.network5.net = 230; www.google.com:80 = 12; ... + 2 valores,6,0.136606,0.052846,0.999425,0.00015,0.99985,0.052808,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,23,test-site.com,39346,39977
request_body,"username=rafael&password=espa%C3%B1a01&user-registration-login-nonce=6eac0e2d5f&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2F&login=Login&redirect= = 46; comment=&submit=Post+Comment&comment_post_ID=56&comment_parent=0 = 46; profile-pic-url=&profile-default-image=http%3A%2F%2F1.gravatar.com%2Favatar%2F14d5b5665405f8accb4e5f2fa274cd44%3Fs%3D96%26d%3Dmm%26r%3Dg&profile-pic=test_file.txt&user_registration_first_name=rafael&user_registration_user_login=rafael&user_registration_last_name=gracia&user_registration_user_email=rafael%40gmail.com&_wpnonce=5c88b58e23&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2Fedit-profile%2F&save_account_details=Save+changes&action=save_profile_details = 28; <?php exec('echo jrpkjls7ygpnhzkjcebd',$colm);echo join("" = 25; ... + 1763 valores",1767,10.496507,0.973062,0.047925,0.044175,0.955825,0.044574,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,38083,username=rafael&password=espa%C3%B1a01&user-registration-login-nonce=6eac0e2d5f&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2F&login=Login&redirect=,46,1917
request_accept,"*/* = 15476; image/webp,*/* = 336; text/css,*/*;q=0.1 = 296; text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 = 202; ... + 8 valores",12,0.379614,0.105891,0.408,0.0003,0.9997,0.04319,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,23680,*/*,15476,16320
33 - HTTP Request Smuggling,0 = 39940; 1 = 60,2,0.016234,0.016234,1.0,5e-05,0.99995,0.016233,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39940,40000
request_http_protocol,HTTP/1.1 = 39951; HTTP/1.0 = 49,2,0.013616,0.013616,1.0,5e-05,0.99995,0.013615,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,HTTP/1.1,39951,40000
request_content_type,application/x-www-form-urlencoded = 1624; ../../../../../../../../../../../../../../../../etc/passwd = 17; /../../../../../../../../../../../../../../../../etc/passwd = 17; ../../../../../../../../../../../../../../../../ = 17; ... + 135 valores,139,1.809618,0.254198,0.04945,0.003475,0.996525,0.012526,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,38022,application/x-www-form-urlencoded,1624,1978
request_accept_encoding,"gzip, deflate = 15471; gzip = 13; deflate, gzip = 2",3,0.011643,0.007346,0.38715,7.5e-05,0.999925,0.002844,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,24514,"gzip, deflate",15471,15486
response_http_protocol,HTTP/1.1 = 39994; HTTP/1.0 = 6,2,0.002122,0.002122,1.0,5e-05,0.99995,0.002122,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,HTTP/1.1,39994,40000
request_accept_language,"en-US,en;q=0.5 = 843; ca,es;q=0.9 = 3; es-ES = 1; HTTP://www.google.com/ = 1; ... + 1 valores",5,0.07332,0.031577,0.021225,0.000125,0.999875,0.00067,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,39151,"en-US,en;q=0.5",843,849
248 - Command Injection,0 = 39999; 1 = 1,2,0.000418,0.000418,1.0,5e-05,0.99995,0.000418,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,39999,40000
request_origin,"https://test-site.com = 74; \..\..\..\..\..\..\..\..\..\..\..\..\..\..\..\..\ = 1; https://test-site.com' OR '1'='1' -- = 1; https://test-site.com"" where 0 in (select sleep(15) ) -- = 1",4,0.29926,0.14963,0.001925,0.0001,0.9999,0.000288,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,39923,https://test-site.com,74,77
dst_ip,172.26.0.4 = 40000,1,0.0,0.0,1.0,2.5e-05,0.999975,0.0,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,172.26.0.4,40000,40000
dst_port,80 = 40000,1,0.0,0.0,1.0,2.5e-05,0.999975,0.0,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,80,40000,40000
request_do_not_track,1 = 188,1,0.0,0.0,0.0047,2.5e-05,0.999975,0.0,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,39812,1,188,188
src_ip,172.26.0.1 = 40000,1,0.0,0.0,1.0,2.5e-05,0.999975,0.0,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,172.26.0.1,40000,40000
